posts,region,province
Lisod kaayo ang kapin sa tulo ka semana nga ubo.,XIII,Agusan del Sur
Bakit lagi na lang ako may pagbaba ng timbang?,IX,Zamboanga del Sur
Di ko na kaya tong ubo.,III,Aurora
May pagod na pagod na naman ako.,VII,Bohol
"umuubo ng may dugo na naman, nakakainis!",VIII,Samar
May alam ba kayong mabisang gamot sa sinat?,III,Bataan
Bakit lagi na lang ako may ubo?,IVA,Batangas
Di ko na kaya tong masakit ang dibdib.,X,Bukidnon
Got any tips for dealing with chest pain when coughing?,CAR,Abra
Got any tips for dealing with tb?,V,Catanduanes
Can't get rid of this low grade fever.,XII,Sultan Kudarat
Suffering from low iron in the blood.,XIII,Surigao del Norte
This cough is so annoying!,I,Ilocos Norte
I'm struggling with this night sweat.,IVB,Palawan
Anyone know a good remedy for afternoon fever?,X,Camiguin
Anyone know a good remedy for hemoptysis?,V,Catanduanes
"Pirme ko naay gamay ug pula sa dugo, unsa kahay maayo ani?",BARMM,Maguindanao del Sur
Grabe akong tb ron.,VII,Siquijor
"pagkaniwang napud ko, makalagot!",IVA,Laguna
Lisod kaayo ang hamubo ug dugo.,IVA,Rizal
Bakit lagi na lang ako may mababa ang dugo?,IVB,Palawan
Bakit lagi na lang ako may mahigit tatlong linggong ubo?,X,Lanao del Norte
Bakit lagi na lang ako may hindi magana sa pagkain?,CAR,Abra
May alam ba kayong mabisang gamot sa namamayat?,XI,Davao Occidental
Sino may alam na gamot para sa nanghihina?,XIII,Agusan del Sur
May alam ba kayong mabisang gamot sa hindi magana sa pagkain?,V,Camarines Norte
Why do I always have low grade fever?,CAR,Kalinga
Can't get rid of this weight loss.,II,Cagayan
Can't get rid of this hemoptysis.,XI,Davao del Norte
This coughing up with blood is so annoying!,XIII,Dinagat Islands
Suffering from loss of appetite.,CAR,Mountain Province
Suffering from weakness.,X,Bukidnon
Lisod kaayo ang walay gana mo kaon.,VI,Antique
"hamubo ug dugo napud ko, makalagot!",IVB,Palawan
"pagbaba ng timbang na naman, nakakainis!",XII,Sarangani
Bakit lagi na lang ako may may dugo sa plema?,IVB,Occidental Mindoro
Ang hirap ng may namamayat.,VI,Antique
Di ko na kaya tong nahihirapan huminga.,V,Albay
Bakit lagi na lang ako may pamumutla?,XIII,Dinagat Islands
Di ko na kaya tong mababa ang dugo.,III,Tarlac
Suffering from weight loss.,IVA,Batangas
Why do I always have anorexia?,X,Lanao del Norte
Got any tips for dealing with cachexia?,XIII,Dinagat Islands
Got any tips for dealing with fatigue?,V,Camarines Norte
I'm struggling with this chest pain when coughing.,III,Zambales
Why do I always have night sweat?,XII,Cotabato
I'm struggling with this shortness of breath.,X,Misamis Occidental
This blood in phlegm is so annoying!,CAR,Apayao
Suffering from chest pain when coughing.,X,Bukidnon
"Pirme ko naay hilanat, unsa kahay maayo ani?",VIII,Eastern Samar
Di ko na kaya tong pag-ubo na may kasamang dugo.,XII,Cotabato
Di ko na kaya tong lagnat.,VI,Capiz
May nahihirapan huminga na naman ako.,II,Nueva Vizcaya
"pag-ubo na may kasamang dugo na naman, nakakainis!",III,Nueva Ecija
Bakit lagi na lang ako may hinahabol ang paghinga?,X,Lanao del Norte
Di ko na kaya tong pamamayat.,BARMM,Maguindanao del Norte
Anyone know a good remedy for tb?,IX,Zamboanga del Sur
Why do I always have cough with blood?,BARMM,Basilan
Why do I always have anemia?,XII,Sultan Kudarat
I'm struggling with this fever.,IX,Zamboanga del Sur
Suffering from shortness of breath.,V,Catanduanes
Can't get rid of this cachexia.,II,Isabela
Lisod kaayo ang naghubak na naay kauban na dugo.,IX,Zamboanga del Sur
May alam ba kayong mabisang gamot sa hinahabol ang paghinga?,II,Quirino
Di ko na kaya tong namamayat.,III,Nueva Ecija
"lagnat sa hapon o sa gabi na naman, nakakainis!",III,Bulacan
I'm struggling with this tuberculosis.,I,Ilocos Norte
This difficulty of breathing is so annoying!,XII,Cotabato
Can't get rid of this tb.,CAR,Apayao
I'm struggling with this anorexia.,V,Camarines Norte
Anyone know a good remedy for blood in phlegm?,V,Catanduanes
Di ko na kaya tong umuubo ng may dugo.,IVA,Quezon
May alam ba kayong mabisang gamot sa walang ganang kumain?,III,Tarlac
May may dugo sa plema na naman ako.,VI,Negros Occidental
Can't get rid of this blood in phlegm.,XIII,Surigao del Sur
Anyone know a good remedy for night sweat?,IVB,Palawan
Got any tips for dealing with low grade fever?,IVA,Laguna
I'm struggling with this low iron in the blood.,XIII,Agusan del Sur
Suffering from fatigue.,II,Isabela
Anyone know a good remedy for anemia?,BARMM,Lanao del Sur
Can't get rid of this fatigue.,V,Sorsogon
Nag-antos gyud ko sa walay gana mo kaon.,VIII,Southern Leyte
Anyone know a good remedy for loss of appetite?,II,Cagayan
Got any tips for dealing with blood in phlegm?,I,La Union
This weight loss is so annoying!,VIII,Northern Samar
Got any tips for dealing with cough?,X,Misamis Occidental
Got any tips for dealing with anorexia?,XII,Cotabato
Anyone know a good remedy for low grade fever?,IVA,Laguna
Why do I always have afternoon fever?,IVA,Batangas
This low iron in the blood is so annoying!,VI,Antique
I'm struggling with this cough with blood.,VIII,Biliran
Kinsay naay tambal para duason?,CAR,Mountain Province
Ang hirap ng may pagod na pagod.,VI,Guimaras
This chest pain when coughing is so annoying!,IVA,Laguna
This loss of appetite is so annoying!,XII,Cotabato
This anorexia is so annoying!,III,Pampanga
Anyone know a good remedy for cough?,XIII,Agusan del Norte
This night sweat is so annoying!,XI,Davao Oriental
I'm struggling with this coughing up with blood.,XI,Davao Oriental
Sino may alam na gamot para sa pamamayat?,II,Batanes
"Nakaplagan nako nga pantal, sip-on.",IVA,Quezon
Nag-antos sa ubo.,CAR,Benguet
"Ugh, walay panlasa. grabe kaayo u",CAR,Ifugao
"Dili ko maka-too nga naay sakit sa ulo, pantal. lisod kaayo ni",XII,Sarangani
Nakaplagan nako nga sakit sa ulo.,III,Bulacan
"Help! Naay ko sip-on, pagtatae. ang",X,Lanao del Norte
Totally miserable with sakit sa ulo.,CAR,Abra
"Gi-lisod ko sa sakit sa ulo, hilanat. buanga ani baii ang",III,Aurora
"Naay ko walay panlasa, pantal. koy",XIII,Surigao del Norte
Nag-antos sa walay panlasa. grabe kaayo u,IVB,Palawan
Totally miserable with hilanat.,IVB,Romblon
Totally miserable with sakit sa ulo. koy,XII,South Cotabato
"Nakaplagan nako nga hilanat, pagtatae. buanga ani baii nko",I,La Union
Gikapoy nako sa pantal.,XIII,Agusan del Sur
"Nakaplagan nako nga hilanat, pantal.",CAR,Apayao
Kinsa pa dri pantal. grabe kaayo,III,Bataan
Kalibog nako sa hilanat. kapoy na kaayo u,IVB,Romblon
"Totally miserable with sip-on, pagtatae. unsa ba ni",I,Pangasinan
"Ugh, ubo, pantal.",NCR,Metro Manila
"Nakaplagan nako nga sakit sa ulo, pagtatae. nko",VIII,Biliran
Kinsa pa dri ubo. ani,XI,Davao Occidental
"Nakaplagan nako nga ubo, pantal. unsa ba ni nko",X,Camiguin
Kinsa pa dri pagtatae. nko,V,Albay
Sige nako ug walay panlasa. grabe kaayo,IVB,Romblon
"Totally miserable with pagtatae, pantal. lisod kaayo ni nko",CAR,Abra
"Hate feeling like this with walay panlasa, pantal. ani",CAR,Apayao
"Tabangi ko, naay ko ubo. u",CAR,Ifugao
"Nakaplagan nako nga pantal, hilanat.",CAR,Benguet
Nakaplagan nako nga sakit sa ulo. unsa ba ni,IVB,Palawan
Gikapoy nako sa ubo. kapoy na kaayo koy,III,Nueva Ecija
"Hate feeling like this with walay panlasa, sakit sa ulo.",IVA,Quezon
Naay ko hilanat. ani,VIII,Biliran
"Sakit kaayo ang walay panlasa, ubo. unsa ba ni koy",I,La Union
Naay ko pagtatae. grabe kaayo,BARMM,Lanao del Sur
Dili ko maka-too nga naay pagtatae.,XII,South Cotabato
Sige nako ug pantal.,IVB,Romblon
Di ko ka-get over ani nga pantal. koy,VI,Capiz
Nakaplagan nako nga sakit sa ulo. lisod kaayo ni ang,XIII,Agusan del Sur
Totally miserable with hilanat. kapoy na kaayo,IVB,Oriental Mindoro
Dili ko maka-too nga naay walay panlasa. nko,XII,Cotabato
Help! Naay ko sip-on. buanga ani baii koy,II,Quirino
"Unsaon nako ni sip-on, sakit sa ulo. kapoy na kaayo",IVB,Occidental Mindoro
"Tabangi ko, naay ko hilanat, ubo. u",III,Bataan
Sakit kaayo ang ubo. unsa ba ni,VIII,Biliran
"Di ko ka-get over ani nga pagtatae, ubo. ani",BARMM,Maguindanao del Norte
"Hate feeling like this with ubo, pantal. grabe kaayo",CAR,Abra
Kinsa pa dri pagtatae. buanga ani baii koy,IX,Zamboanga del Norte
Nakaplagan nako nga hilanat. lisod kaayo ni nko,BARMM,Sulu
Sakit kaayo ang sakit sa ulo. unsa ba ni,CAR,Ifugao
"Kalibog nako sa pantal, hilanat.",XI,Davao Oriental
"Akong swerte, naa koy hilanat, pagtatae.",IVA,Quezon
Naa koy walay panlasa. nko,V,Camarines Sur
"Totally miserable with pagtatae, sakit sa ulo. ang",IVB,Palawan
"Hate feeling like this with sip-on, ubo.",IX,Zamboanga Sibugay
"Tabangi ko, naay ko pantal, pagtatae. u",X,Lanao del Norte
"Tabangi ko, naay ko pagtatae. unsa ba ni u",II,Cagayan
"Naay ko hilanat, sakit sa ulo. buanga ani baii u",VIII,Northern Samar
"Akong swerte, naa koy pantal, hilanat. u",VIII,Southern Leyte
Gi-lisod ko sa pantal. koy,VI,Aklan
"Kinsa pa dri sakit sa ulo, ubo.",II,Batanes
"Di ko ka-get over ani nga pantal, sip-on. lisod kaayo ni",X,Misamis Oriental
"Ugh, pantal. unsa ba ni ani",III,Nueva Ecija
"Naa koy pantal, walay panlasa. buanga ani baii",IVA,Quezon
Sakit kaayo ang walay panlasa.,III,Zambales
Sakit kaayo ang sakit sa ulo. unsa ba ni ang,BARMM,Tawi-tawi
Nakaplagan nako nga walay panlasa. buanga ani baii koy,XIII,Surigao del Norte
"Gi-lisod ko sa pagtatae, hilanat. ang",III,Zambales
"Kinsa pa dri sakit sa ulo, pagtatae. unsa ba ni",III,Bataan
Sakit kaayo ang pagtatae. u,CAR,Kalinga
"Akong swerte, naa koy sakit sa ulo.",VI,Guimaras
"Hate feeling like this with walay panlasa, pantal.",XII,Sultan Kudarat
Ngano naa ko'y walay panlasa. nko,VI,Aklan
"Ugh, sakit sa ulo. lisod kaayo ni u",CAR,Apayao
"Nag-antos sa pagtatae, ubo. kapoy na kaayo",I,Pangasinan
"Ugh, hilanat. lisod kaayo ni",BARMM,Lanao del Sur
"Sakit kaayo ang pantal, hilanat. grabe kaayo",VI,Guimaras
"Naa koy walay panlasa, hilanat. lisod kaayo ni",VIII,Leyte
Sakit kaayo ang pagtatae. grabe kaayo,VII,Cebu
Sakit kaayo ang pagtatae. ang,XI,Davao Occidental
Hate feeling like this with hilanat. lisod kaayo ni koy,V,Albay
Dili ko maka-too nga naay pantal. ang,BARMM,Sulu
"Tabangi ko, naay ko pantal, hilanat. nko",IVB,Occidental Mindoro
Help! Naay ko ubo. unsa ba ni,CAR,Kalinga
Kinsa pa dri sakit sa ulo. unsa ba ni,XIII,Surigao del Norte
"Naay ko walay panlasa, pagtatae.",III,Aurora
"Akong swerte, naa koy pagtatae. grabe kaayo nko",XIII,Dinagat Islands
"Kinsa pa dri pantal, sakit sa ulo.",V,Catanduanes
Ngano naa ko'y ubo. unsa ba ni koy,BARMM,Sulu
Naa koy ubo. buanga ani baii,VII,Siquijor
"Ugh, pantal.",X,Lanao del Norte
"Di ko ka-get over ani nga ubo, pagtatae.",VIII,Biliran
"Unsaon nako ni sip-on, walay panlasa.",XII,Sarangani
Totally miserable with pagtatae. lisod kaayo ni ani,BARMM,Lanao del Sur
"Di ko ka-get over ani nga walay panlasa, sakit sa ulo. ang",VIII,Northern Samar
Help! Naay ko hilanat. unsa ba ni nko,XI,Davao del Norte
"Nakaplagan nako nga pantal, sakit sa ulo. grabe kaayo",II,Quirino
"Nakaplagan nako nga pantal, pagtatae.",IVB,Oriental Mindoro
Di ko ka-get over ani nga pantal. lisod kaayo ni ani,II,Isabela
"Akong swerte, naa koy walay panlasa. u",BARMM,Maguindanao del Norte
Help! Naay ko sip-on. koy,IVB,Marinduque
Nakaplagan nako nga hilanat. grabe kaayo u,NCR,Metro Manila
"Akong swerte, naa koy hilanat.",IX,Zamboanga del Norte
Hate feeling like this with ubo.,III,Nueva Ecija
Help! Naay ko walay panlasa. grabe kaayo ani,V,Sorsogon
"Kinsa pa dri walay panlasa, ubo.",III,Zambales
"Akong swerte, naa koy sakit sa ulo. nko",VIII,Southern Leyte
Unsaon nako ni sakit sa ulo. unsa ba ni,IX,Zamboanga del Sur
"Nag-antos sa sip-on, sakit sa ulo. lisod kaayo ni u",X,Bukidnon
Sige nako ug pagtatae.,CAR,Ifugao
Nakaplagan nako nga pagtatae. ang,IVB,Palawan
Kinsa pa dri sip-on.,BARMM,Maguindanao del Norte
Ngano naa ko'y hilanat.,CAR,Abra
Naay ko sip-on. lisod kaayo ni,XI,Davao del Norte
Totally miserable with ubo. u,IVA,Batangas
"Gikapoy nako sa pantal, walay panlasa. lisod kaayo ni ani",V,Catanduanes
"Gi-lisod ko sa walay panlasa, pantal.",III,Bataan
"Nakaplagan nako nga sakit sa ulo, hilanat. lisod kaayo ni u",V,Catanduanes
Help! Naay ko pantal.,III,Tarlac
Ngano naa ko'y sakit sa ulo. grabe kaayo,VII,Bohol
Gikapoy nako sa pantal. grabe kaayo,VIII,Samar
Naay ko sip-on. ang,I,Ilocos Norte
"Kalibog nako sa walay panlasa, ubo.",XI,Davao de Oro
"Totally miserable with pagtatae, walay panlasa. kapoy na kaayo ani",BARMM,Tawi-tawi
"Tabangi ko, naay ko sakit sa ulo. koy",NCR,Metro Manila
"Unsaon nako ni sip-on, pagtatae. buanga ani baii",IVB,Palawan
"Akong swerte, naa koy walay panlasa, ubo.",BARMM,Sulu
"Ugh, walay panlasa, ubo. ang",I,Pangasinan
Sige nako ug hilanat. unsa ba ni,VIII,Northern Samar
"Akong swerte, naa koy walay panlasa, ubo. nko",BARMM,Maguindanao del Norte
"Tabangi ko, naay ko sip-on, ubo. unsa ba ni",V,Sorsogon
Help! Naay ko sakit sa ulo. unsa ba ni,BARMM,Sulu
Ngano naa ko'y ubo.,V,Catanduanes
Nakaplagan nako nga pagtatae. kapoy na kaayo,VI,Negros Occidental
Hate feeling like this with sip-on.,VIII,Samar
Help! Naay ko hilanat. u,X,Lanao del Norte
"Tabangi ko, naay ko ubo. buanga ani baii",III,Nueva Ecija
Totally miserable with sakit sa ulo. grabe kaayo nko,IX,Zamboanga del Norte
"Totally miserable with hilanat, pagtatae. buanga ani baii",BARMM,Sulu
Di ko ka-get over ani nga pagtatae. ani,V,Catanduanes
"Ngano naa ko'y hilanat, ubo. buanga ani baii",IX,Zamboanga del Norte
Naay ko hilanat. kapoy na kaayo ang,I,Pangasinan
"Akong swerte, naa koy hilanat, sip-on.",BARMM,Sulu
"Nakaplagan nako nga hilanat, sip-on. ang",III,Nueva Ecija
"Dili ko maka-too nga naay pantal, ubo.",IVB,Oriental Mindoro
Nakaplagan nako nga walay panlasa. ani,XII,Sarangani
Nag-antos sa sakit sa ulo. lisod kaayo ni,VIII,Samar
Unsaon nako ni walay panlasa. lisod kaayo ni ani,XI,Davao del Norte
Naa koy sakit sa ulo.,XII,Cotabato
"Kalibog nako sa hilanat, pagtatae. unsa ba ni nko",BARMM,Lanao del Sur
"Gikapoy nako sa ubo, pantal. buanga ani baii",VI,Capiz
"Hate feeling like this with ubo, sakit sa ulo. koy",I,La Union
Gi-lisod ko sa hilanat. kapoy na kaayo ang,XI,Davao Occidental
"Kinsa pa dri pagtatae, ubo.",IX,Zamboanga del Sur
"Help! Naay ko sip-on, pantal.",IVA,Rizal
Naay ko pantal.,VII,Siquijor
Unsaon nako ni sakit sa ulo. koy,XIII,Agusan del Sur
Di ko ka-get over ani nga pagtatae. buanga ani baii,V,Albay
"Totally miserable with sip-on, ubo.",III,Nueva Ecija
Dili ko maka-too nga naay walay panlasa.,BARMM,Maguindanao del Norte
"Nag-antos sa walay panlasa, hilanat.",V,Masbate
"Naay ko walay panlasa, hilanat.",XIII,Surigao del Norte
"Sige nako ug pagtatae, sakit sa ulo. ani",VII,Cebu
Nag-antos sa pantal. u,III,Pampanga
Gi-lisod ko sa ubo. nko,XI,Davao de Oro
"Kalibog nako sa walay panlasa, ubo. ani",VI,Iloilo
"Sige nako ug hilanat, pantal. nko",BARMM,Sulu
"Help! Naay ko pagtatae, walay panlasa. ani",VIII,Leyte
"Unsaon nako ni hilanat, sakit sa ulo.",IVA,Laguna
"Kalibog nako sa ubo, pagtatae.",X,Misamis Oriental
Kinsa pa dri pantal. kapoy na kaayo nko,VIII,Biliran
"Totally miserable with ubo, sip-on. koy",V,Sorsogon
"Tabangi ko, naay ko hilanat, ubo. u",CAR,Kalinga
"Kinsa pa dri sip-on, hilanat.",III,Aurora
"Unsaon nako ni hilanat, pantal.",VII,Cebu
Nag-antos sa sakit sa ulo. kapoy na kaayo ang,XII,Sultan Kudarat
Dili ko maka-too nga naay pagtatae. grabe kaayo,VI,Negros Occidental
"Help! Naay ko walay panlasa, hilanat.",I,Pangasinan
"Gi-lisod ko sa sip-on, pagtatae. unsa ba ni nko",BARMM,Maguindanao del Norte
Kalibog nako sa walay panlasa. grabe kaayo,CAR,Abra
"Naglakaw-lakaw ko sa Colon Street, daghang tawo sa palibot.",III,Tarlac
"Nagtan-aw ko sa sunset sa Dumaguete, nindot kaayo ang view.",IVA,Cavite
Nagkaon ko sa lamiang lechon sa Cebu.,II,Isabela
Nabisita ko sa Magellan's Cross karong buntaga.,III,Bataan
Nag-explore ko sa mga beach sa Mactan Island.,X,Camiguin
Nag-enjoy ko sa nightlife sa Mango Square.,X,Bukidnon
"Nisulod ko sa Basilica del Santo Niño, nindot ang atmosphere.",BARMM,Basilan
"Nagpahuway ko sa park, hilom kaayo ang lugar.",III,Tarlac
Nagshopping ko sa Ayala Center Cebu.,X,Misamis Oriental
Nagtan-aw ko ug salida sa SM City Cebu.,IVB,Oriental Mindoro
Nagduwa ko ug basketball sa sports complex.,CAR,Mountain Province
Nagpraktis ko ug sayaw sa community center.,VI,Iloilo
"Nagbasa ko ug libro sa library, daghang libro.",CAR,Abra
Nagkat-on ko magluto ug mga pagkaon sa local cuisine.,X,Camiguin
Nagkuha ko ug daghang pictures sa mga landmarks sa Cebu.,VIII,Southern Leyte
Nagdula ko ug board games sa mga barkada.,VII,Cebu
"Nagpahuway ko sa balay, nagtan-aw ug TV.",VII,Siquijor
Naglantaw ko ug mga lumba-lumba sa dagat sa Dumaguete.,IVB,Romblon
Nagsuroy-suroy ko sa mga eskwelahan sa Cebu.,IVB,Romblon
Nagdula ko ug volleyball sa baybayon.,VII,Bohol
Naglaag ko sa mga plaza sa siyudad.,V,Masbate
"Nagkat-on ko ug photography, daghan ko ug nakuha nga pictures.",VIII,Leyte
Naminaw ko ug mga local nga banda sa usa ka gig.,IVA,Cavite
Nagsimba ko sa usa ka dako nga simbahan.,VII,Bohol
Nagtan-aw ko ug fireworks display.,IX,Zamboanga Sibugay
Nagtambong ko ug seminar bahin sa business.,IVB,Oriental Mindoro
Nagpraktis ko ug martial arts sa gym.,IX,Zamboanga del Norte
Nagtrabaho ko sa usa ka project para sa among school.,III,Bulacan
Nag-drawing ko ug mga art pieces.,V,Camarines Sur
Nagkaon ko ug halo-halo sa mga kilid sa dalan.,XII,Sultan Kudarat
Nag-celebrate ko sa fiesta sa among barangay.,IVA,Rizal
Namit na ko ug daghang mga bag-ong friends.,XI,Davao de Oro
Nag-mountain climbing ko sa Osmeña Peak.,XI,Davao del Norte
Nagsuroy ko sa mga museums sa siyudad.,XII,Sultan Kudarat
Nagtan-aw ko ug mga birds sa bird sanctuary.,XII,Cotabato
Nag-relax ko sa coffee shop.,III,Pampanga
Nag-dula ko ug soccer sa sports field.,VIII,Northern Samar
Nagpamasyal ko sa mga historical sites sa Cebu.,CAR,Apayao
Nag-biking ko sa mga trail sa bukid.,X,Misamis Oriental
Nakadungog ko ug mga istorya gikan sa mga locals.,VI,Aklan
"Nagkinahanglan ko ug relaxation, nagmeditate ko.",VIII,Eastern Samar
Nagpahimulos ko sa tan-awon sa mga tourist spots.,BARMM,Basilan
Nag-take ko ug mga selfies sa mga park.,VII,Bohol
Nag-attend ko ug art exhibit sa gallery.,BARMM,Sulu
Nagkanta ko sa karaoke sa among lugar.,V,Camarines Sur
Nagtrabaho ko ug freelance gigs online.,II,Quirino
"Nagsuroy ko sa mga zoo, daghan kaayo ug mga animals.",BARMM,Lanao del Sur
Naminaw ko sa mga stories sa akong mga lola.,VIII,Northern Samar
Nagbike ko sa mga dalan sa siyudad.,XII,Sarangani
Nagpalit ko ug souvenirs sa mga tindahan.,XI,Davao Occidental
Nagtambong ko ug mga local festivals.,II,Cagayan
Nag-make ko ug mga crafts sa balay.,X,Camiguin
Nagdula ko ug mga computer games.,CAR,Ifugao
Nagbasa ko ug mga comics.,CAR,Apayao
Naminaw ko ug podcasts.,I,Ilocos Sur
Naglangoy ko sa pool.,VI,Aklan
Nagbisita ko sa mga friends.,VIII,Biliran
Nagbuhat ko ug mga videos para sa vlog.,VII,Bohol
Nag-edit ko ug mga photos sa akong camera.,XI,Davao del Norte
Nag-garden ko sa backyard.,VI,Aklan
Nagpaint ko ug landscape.,XIII,Dinagat Islands
Nag-tutor ko ug mga estudyante.,VI,Capiz
Nagpahuway ko ug tan-aw ug movies.,XIII,Agusan del Sur
Nag-adto ko sa hiking trail.,XI,Davao del Norte
Nagpatugtog ko ug guitar.,V,Sorsogon
Nagtrabaho ko sa laptop sa park.,VI,Aklan
Nagtambong ko ug mga cultural shows.,CAR,Ifugao
Nag-atubang ko ug mga challenges sa project.,V,Camarines Sur
Nagkalipay ko sa weekend activities.,II,Batanes
Nagatiman ko ug pets.,X,Lanao del Norte
Kalibog nako sa ubo. grabe kaayo ani,VIII,Biliran
Pagod na pagod na ako sa pagtatae.,NCR,Metro Manila
Buong araw akong may walang panlasa.,IX,Zamboanga del Norte
Ayoko na ng sakit ng ulo.,X,Lanao del Norte
"Nakikipaglaban sa pagtatae, pantal.",III,Pampanga
"Ugh, pagtatae, ubo.",II,Quirino
Hindi ko matiis ang pantal.,XI,Davao de Oro
Nahihirapan sa sakit ng ulo.,II,Cagayan
